
#          title damage energy traversable is_fall
Interface: plain      0      0           1       0
Interface: rocks      1      0           1       0
Interface: mud        0      1           1       0
Interface: wall      10      1           0       0
Interface: cliff      0      0           1       1
Cell:   16   3000.00      0.00   -246.24   26    0   17   15  wall wall wall wall
Object:   OBJ00016     16      dBm    10.00      flora     5.00    10.00        dayglo-orange       bush     medium             
Object:   OBJ00017     16      Vrs    10.00    mineral     1.00     1.00            olivedrab       rock      small             
Object:   OBJ00018     16      Vrt    10.00    mineral     0.10     0.10            olivedrab       rock       tiny             
Object:   OBJ00019     16      dBs    50.00      flora     1.00     1.00        dayglo-orange       bush      small             
Object:   OBJ00020     16      dBt    10.00      flora     0.10     0.10        dayglo-orange       bush       tiny             
Object:   OBJ00021     16      dBs    10.00      flora     1.00     1.00        dayglo-orange       bush      small             
Object:   OBJ00022     16      d3t    50.00      fauna     0.10     0.10        dayglo-orange     triped       tiny             
Object:   OBJ00023     16      d3t    10.00      fauna     0.10     0.10        dayglo-orange     triped       tiny             
Object:   OBJ00024     16      drs    10.00    mineral     1.00     1.00        dayglo-orange       rock      small             
Object:   OBJ00025     16      VBm   -50.00      flora     5.00    10.00            olivedrab       bush     medium             
Object:   OBJ00026     16      d3t    10.00      fauna     0.10     0.10        dayglo-orange     triped       tiny             
Object:   OBJ00027     16      drm    10.00    mineral     5.00    10.00        dayglo-orange       rock     medium             
Object:   OBJ00028     16      Vrs    10.00    mineral     1.00     1.00            olivedrab       rock      small             
Object:   OBJ00029     16      VBt   -50.00      flora     0.10     0.10            olivedrab       bush       tiny             
Object:   OBJ00030     16      d3t    10.00      fauna     0.10     0.10        dayglo-orange     triped       tiny             
Object:   OBJ00031     16      cBt    50.00      flora     0.10     0.10                 cyan       bush       tiny             
Object:   OBJ00032     16      drs   -50.00    mineral     1.00     1.00        dayglo-orange       rock      small             
Object:   OBJ00033     16      d3s    10.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00034     16      drm    10.00    mineral     5.00    10.00        dayglo-orange       rock     medium             
Object:   OBJ00035     16      d3t    50.00      fauna     0.10     0.10        dayglo-orange     triped       tiny             
Object:   OBJ00036     16      drm    10.00    mineral     5.00    10.00        dayglo-orange       rock     medium             
Object:   OBJ00037     16      V3t    10.00      fauna     0.10     0.10            olivedrab     triped       tiny             
Object:   OBJ00038     16      Vrm    10.00    mineral     5.00    10.00            olivedrab       rock     medium             
Object:   OBJ00039     16      d3m    10.00      fauna     5.00    10.00        dayglo-orange     triped     medium             
Object:   OBJ00040     16      dBt   -50.00      flora     0.10     0.10        dayglo-orange       bush       tiny             
Object:   OBJ00041     16      drm    10.00    mineral     5.00    10.00        dayglo-orange       rock     medium             
Object:   OBJ00042     16      drm   -50.00    mineral     5.00    10.00        dayglo-orange       rock     medium             
Object:   OBJ00043     16      Vrs    10.00    mineral     1.00     1.00            olivedrab       rock      small             
Object:   OBJ00044     16      drm    10.00    mineral     5.00    10.00        dayglo-orange       rock     medium             
Object:   OBJ00045     16      dBt    10.00      flora     0.10     0.10        dayglo-orange       bush       tiny             
Object:   OBJ00046     16      crt    10.00    mineral     0.10     0.10                 cyan       rock       tiny             
Object:   OBJ00047     16      d3m    10.00      fauna     5.00    10.00        dayglo-orange     triped     medium             
Object:   OBJ00048     16      drs    10.00    mineral     1.00     1.00        dayglo-orange       rock      small             
Object:   OBJ00049     16      Vrs    10.00    mineral     1.00     1.00            olivedrab       rock      small             
Object:   OBJ00050     16      drm    10.00    mineral     5.00    10.00        dayglo-orange       rock     medium             
Object:   OBJ00051     16      dBm    50.00      flora     5.00    10.00        dayglo-orange       bush     medium             
Object:   OBJ00052     16      d3m    10.00      fauna     5.00    10.00        dayglo-orange     triped     medium             
Object:   OBJ00053     16      Vrs    10.00    mineral     1.00     1.00            olivedrab       rock      small             
Object:   OBJ00054     16      drs   -50.00    mineral     1.00     1.00        dayglo-orange       rock      small             
Object:   OBJ00055     16      V3s    10.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00056     16      cBs    50.00      flora     1.00     1.00                 cyan       bush      small             
Object:   OBJ00057     16      Vrm    10.00    mineral     5.00    10.00            olivedrab       rock     medium             
Object:   OBJ00058     16      d3t    50.00      fauna     0.10     0.10        dayglo-orange     triped       tiny             
Object:   OBJ00059     16      Vrm    10.00    mineral     5.00    10.00            olivedrab       rock     medium             
Object:   OBJ00060     16      VBm    50.00      flora     5.00    10.00            olivedrab       bush     medium             
Object:   OBJ00061     16      drs    10.00    mineral     1.00     1.00        dayglo-orange       rock      small             
Object:   OBJ00062     16      VBs   -50.00      flora     1.00     1.00            olivedrab       bush      small             
Object:   OBJ00063     16      d3t    50.00      fauna     0.10     0.10        dayglo-orange     triped       tiny             
Object:   OBJ00064     16      drt    10.00    mineral     0.10     0.10        dayglo-orange       rock       tiny             
Object:   OBJ00065     16      drm    10.00    mineral     5.00    10.00        dayglo-orange       rock     medium             
Object:   OBJ00066     16      drm   -50.00    mineral     5.00    10.00        dayglo-orange       rock     medium             
Object:   OBJ00067     16      VBt    10.00      flora     0.10     0.10            olivedrab       bush       tiny             
Object:   OBJ00068     16      VBt    50.00      flora     0.10     0.10            olivedrab       bush       tiny             
